Date,Site,Treatment,Order,Pairing,Trap number,Abundance (# nekton),Month,Notes
7/21/2016,Sol Legare,Spartina,1,X,1,16,July,
7/21/2016,Sol Legare,Mussels,2,X,3,27,July,
8/4/2016,Sol Legare,Mussels,3,X,4,38,August,
8/4/2016,Sol Legare,Spartina,4,X,2,8,August,
8/4/2016,Sol Legare,Mussels,5,Y,1,9,August,
8/4/2016,Sol Legare,Spartina,6,Y,3,11,August,
8/9/2016,Sol Legare,Mussels,7,X,4,7,August,
8/9/2016,Sol Legare,Spartina,8,X,1,5,August,
8/9/2016,Sol Legare,Mussels,9,Y,2,7,August,
8/9/2016,Sol Legare,Spartina,10,Y,3,2,August,
8/24/2016,Sol Legare,Mussels,11,X,2,0,August,"Does not appear in ""Species"" sheet!"
8/24/2016,Sol Legare,Spartina,12,X,1,1,August,
8/24/2016,Sol Legare,Mussels,13,Y,3,25,August,
8/24/2016,Sol Legare,Spartina,14,Y,4,22,August,
8/25/2016,Sol Legare,Mussels,15,X,1,18,August,
8/25/2016,Sol Legare,Spartina,16,X,4,12,August,
8/25/2016,Sol Legare,Mussels,17,Y,3,19,August,
8/25/2016,Sol Legare,Spartina,18,Y,2,11,August,
9/7/2016,Sol Legare,Mussels,19,X,4,3,September,
9/7/2016,Sol Legare,Spartina,20,X,1,6,September,
9/7/2016,Sol Legare,Mussels,21,Y,3,3,September,
9/7/2016,Sol Legare,Spartina,22,Y,2,3,September,
9/8/2016,Sol Legare,Mussels,23,X,3,2,September,
9/8/2016,Sol Legare,Spartina,24,X,1,8,September,
9/8/2016,Sol Legare,Mussels,25,Y,4,1,September,
9/8/2016,Sol Legare,Spartina,26,Y,2,1,September,
9/21/2016,Sol Legare,Mussels,27,X,1,18,September,
9/21/2016,Sol Legare,Spartina,28,X,3,21,September,
9/21/2016,Sol Legare,Mussels,29,Y,2,34,September,
9/21/2016,Sol Legare,Spartina,30,Y,4,20,September,
9/22/2016,Sol Legare,Mussels,31,X,2,7,September,
9/22/2016,Sol Legare,Spartina,32,X,4,7,September,
9/22/2016,Sol Legare,Mussels,33,Y,3,8,September,
9/22/2016,Sol Legare,Spartina,34,Y,1,14,September,
10/3/2016,Sol Legare,Mussels,35,X,4,13,October,
10/3/2016,Sol Legare,Spartina,36,X,2,18,October,
10/3/2016,Sol Legare,Mussels,37,Y,1,25,October,
10/3/2016,Sol Legare,Spartina,38,Y,3,11,October,
10/21/2016,Sol Legare,Mussels,39,X,4,5,October,
10/21/2016,Sol Legare,Spartina,40,X,1,33,October,
10/21/2016,Sol Legare,Mussels,41,Y,3,30,October,
10/21/2016,Sol Legare,Spartina,42,Y,2,32,October,
11/2/2016,Sol Legare,Mussels,43,X,,10,November,
11/2/2016,Sol Legare,Spartina,44,X,,23,November,
11/2/2016,Sol Legare,Mussels,45,Y,,36,November,
11/2/2016,Sol Legare,Spartina,46,Y,,43,November,
