mussels_present,elevation (m)
N,0.334
N,0.253
N,0.303
N,0.385
N,0.236
N,0.267
N,0.338
Y,0.334
N,0.312
N,0.25
N,0.315
Y,0.329
N,0.232
Y,0.437
Y,0.515
N,0.332
N,0.271
N,0.226
N,0.199
N,0.203
N,0.155
N,0.519
Y,0.436
N,0.252
N,0.138
N,0.298
Y,0.419
N,0.381
Y,0.449
Y,0.551
Y,0.45
N,0.156
N,0.182
N,0.19
N,-0.011
N,0.135
N,0.54
Y,0.584
Y,0.473
Y,0.477
Y,0.49
Y,0.513
Y,0.51
Y,0.51
Y,0.507
Y,0.568
N,0.537
N,0.6
Y,0.582
Y,0.599
N,0.541
Y,0.383
N,0.539
Y,0.614
Y,0.523
Y,0.538
N,0.667
N,0.658
Y,0.634
Y,0.491
N,0.292
N,0.506
Y,0.483
Y,0.429
N,0.472
Y,0.556
N,0.378
Y,0.428
N,0.394
Y,0.28
Y,0.313
N,0.422
N,0.638
Y,0.603
N,0.078
Y,0.61
Y,0.382
Y,0.364
N,0.473
Y,0.425
Y,0.445
Y,0.388
Y,0.508
Y,0.432
Y,0.501
